stamp,Algeria
Mar-89,
Apr-89,
May-89,
Jun-89,
Jul-89,
Aug-89,
Sep-89,
Oct-89,
Nov-89,
Dec-89,
Jan-90,
Feb-90,
Mar-90,
Apr-90,
May-90,
Jun-90,
Jul-90,
Aug-90,
Sep-90,
Oct-90,
Nov-90,
Dec-90,
Jan-91,
Feb-91,
Mar-91,
Apr-91,
May-91,
Jun-91,
Jul-91,
Aug-91,
Sep-91,
Oct-91,
Nov-91,
Dec-91,
Jan-92,
Feb-92,
Mar-92,
Apr-92,
May-92,
Jun-92,
Jul-92,
Aug-92,
Sep-92,
Oct-92,
Nov-92,
Dec-92,
Jan-93,
Feb-93,
Mar-93,
Apr-93,
May-93,
Jun-93,
Jul-93,
Aug-93,
Sep-93,
Oct-93,
Nov-93,
Dec-93,
Jan-94,
Feb-94,
Mar-94,
Apr-94,
May-94,
Jun-94,
Jul-94,
Aug-94,
Sep-94,
Oct-94,
Nov-94,
Dec-94,
Jan-95,
Feb-95,
Mar-95,
Apr-95,
May-95,
Jun-95,
Jul-95,
Aug-95,
Sep-95,
Oct-95,
Nov-95,
Dec-95,
Jan-96,
Feb-96,
Mar-96,
Apr-96,
May-96,
Jun-96,
Jul-96,
Aug-96,
Sep-96,
Oct-96,
Nov-96,
Dec-96,
Jan-97,
Feb-97,
Mar-97,
Apr-97,
May-97,
Jun-97,
Jul-97,
Aug-97,
Sep-97,
Oct-97,
Nov-97,
Dec-97,
Jan-98,59167
Feb-98,50778
Mar-98,50794
Apr-98,46819
May-98,50306
Jun-98,50646
Jul-98,51476
Aug-98,52166
Sep-98,49684
Oct-98,49004
Nov-98,47384
Dec-98,48894
Jan-99,55704
Feb-99,47505
Mar-99,49160
Apr-99,45366
May-99,49173
Jun-99,50254
Jul-99,53224
Aug-99,54723
Sep-99,47414
Oct-99,47119
Nov-99,44724
Dec-99,49277
Jan-00,55519
Feb-00,45971
Mar-00,46044
Apr-00,45570
May-00,47817
Jun-00,47684
Jul-00,53617
Aug-00,52523
Sep-00,46251
Oct-00,47985
Nov-00,48022
Dec-00,51625
Jan-01,55930
Feb-01,46091
Mar-01,47938
Apr-01,46425
May-01,50570
Jun-01,52460
Jul-01,57651
Aug-01,53880
Sep-01,51583
Oct-01,50917
Nov-01,51008
Dec-01,53927
Jan-02,52873
Feb-02,46391
Mar-02,48335
Apr-02,46338
May-02,48775
Jun-02,53046
Jul-02,57296
Aug-02,55098
Sep-02,50593
Oct-02,52340
Nov-02,53142
Dec-02,52736
Jan-03,
Feb-03,
Mar-03,
Apr-03,
May-03,
Jun-03,
Jul-03,
Aug-03,
Sep-03,
Oct-03,
Nov-03,
Dec-03,
Jan-04,
Feb-04,
Mar-04,
Apr-04,
May-04,
Jun-04,
Jul-04,
Aug-04,
Sep-04,
Oct-04,
Nov-04,
Dec-04,
Jan-05,
Feb-05,
Mar-05,
Apr-05,
May-05,
Jun-05,
Jul-05,
Aug-05,
Sep-05,
Oct-05,
Nov-05,
Dec-05,
Jan-06,
Feb-06,
Mar-06,
Apr-06,
May-06,
Jun-06,
Jul-06,
Aug-06,
Sep-06,
Oct-06,
Nov-06,
Dec-06,
Jan-07,
Feb-07,
Mar-07,
Apr-07,
May-07,
Jun-07,
Jul-07,
Aug-07,
Sep-07,
Oct-07,
Nov-07,
Dec-07,
Jan-08,
Feb-08,
Mar-08,
Apr-08,
May-08,
Jun-08,
Jul-08,
Aug-08,
Sep-08,
Oct-08,
Nov-08,
Dec-08,
Jan-09,
Feb-09,
Mar-09,
Apr-09,
May-09,
Jun-09,
Jul-09,
Aug-09,
Sep-09,
Oct-09,
Nov-09,
Dec-09,
Jan-10,71955
Feb-10,64568
Mar-10,69952
Apr-10,70489
May-10,74095
Jun-10,70386
Jul-10,79997
Aug-10,88522
Sep-10,78799
Oct-10,76416
Nov-10,71596
Dec-10,71035
Jan-11,
Feb-11,
Mar-11,
Apr-11,
May-11,
Jun-11,
Jul-11,
Aug-11,
Sep-11,
Oct-11,
Nov-11,
Dec-11,
Jan-12,79804.74248
Feb-12,73456.0752
Mar-12,77594.1988
Apr-12,79849.73647
May-12,76541.78173
Jun-12,79821.64513
Jul-12,96123.67299
Aug-12,95523.58987
Sep-12,85935.29731
Oct-12,83555.58155
Nov-12,74293.32459
Dec-12,75733.72403
Jan-13,80349.84441
Feb-13,69534.1584
Mar-13,74800.44043
Apr-13,72840.96957
May-13,70909.37635
Jun-13,81732.04685
Jul-13,95954.55224
Aug-13,93279.02148
Sep-13,85836.17455
Oct-13,82274.35919
Nov-13,76125.75693
Dec-13,79085.50339
Jan-14,84958.04652
Feb-14,74815.45934
Mar-14,83637.6876
Apr-14,74173.52886
May-14,77209.05314
Jun-14,90212.23071
Jul-14,95563.48732
Aug-14,96919.90327
Sep-14,89556.11978
Oct-14,86805.46686
Nov-14,80628.91103
Dec-14,79767.69376
Jan-15,85534.25961
Feb-15,74998.63882
Mar-15,83032.54035
Apr-15,73720.17124
May-15,79301.56221
Jun-15,92716.88483
Jul-15,101842.9991
Aug-15,101051.9227
Sep-15,92881.91544
Oct-15,89373.09998
Nov-15,82372.3852
Dec-15,83458.53883
Jan-16,90053.23401
Feb-16,80817.96625
Mar-16,82052.30397
Apr-16,72627.94827
May-16,83774.59685
Jun-16,94697.28575
Jul-16,103567.5392
Aug-16,103697.6327
Sep-16,93479.21527
Oct-16,92678.86242
Nov-16,85028.11025
Dec-16,84347.87386
Jan-17,
Feb-17,
Mar-17,
Apr-17,
May-17,
Jun-17,
Jul-17,
Aug-17,
Sep-17,
Oct-17,
Nov-17,
Dec-17,
Jan-18,
Feb-18,
Mar-18,
Apr-18,
May-18,
Jun-18,
Jul-18,
Aug-18,
Sep-18,
Oct-18,
Nov-18,
Dec-18,
Jan-19,
Feb-19,
Mar-19,
Apr-19,
May-19,
Jun-19,
Jul-19,
Aug-19,
Sep-19,
Oct-19,
Nov-19,
Dec-19,
Jan-20,
Feb-20,
Mar-20,
Apr-20,
May-20,
Jun-20,
Jul-20,
Aug-20,
Sep-20,
Oct-20,
Nov-20,
Dec-20,
Jan-21,
Feb-21,
Mar-21,
Apr-21,
May-21,
Jun-21,
Jul-21,
Aug-21,
Sep-21,
Oct-21,
Nov-21,
Dec-21,
