stamp,Albania,Algeria,American Samoa,Andorra,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Barbados,Belarus,Belgium,Bermuda,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Cabo Verde,Canada,Cayman Islands,Chile,"China, Hong Kong SAR","China, Macao SAR",Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Denmark,Egypt,El Salvador,Estonia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Guadeloupe,Guam,Guatemala,Guernsey,Guyana,Hungary,Iceland,Iran (Islamic Republic of),Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Liechtenstein,Lithuania,Luxembourg,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritius,Mayotte,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Netherlands,New Caledonia,New Zealand,Niue,Norfolk Island,North Macedonia,Norway,Oman,Pakistan,Palau,Panama,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Reunion,Romania,Russian Federation,Saint Helena ex. dep.,Saint Helena: Ascension,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Saint-Martin (French part),Samoa,San Marino,Sao Tome and Principe,Serbia,Seychelles,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,State of Palestine,Suriname,Sweden,Switzerland,Tajikistan,Thailand,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United States Virgin Islands,United States of America,Uruguay,Uzbekistan,Venezuela (Bolivarian Republic of)
Nov-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,22029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5823,,,,,,,9,,,,,,,,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,21402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5847,,,,,,,4,,,,,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-68,,,,,,,,,,,,,,,,,,,,,,,,,966,,,21670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5651,,,,,,,12,,,,,,,,,237,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-68,,,,,,,,,,,,,,,,,,,,,,,,,819,,,19866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5063,,,,,,,11,,,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-68,,,,,,,,,,,,,,,,,,,,,,,,,921,,,20990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5377,,,,,,,8,,,,,,,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-68,,,,,,,,,,,,,,,,,,,,,,,,,891,,,20696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5091,,,,,,,8,,,,,,,,,296,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-68,,,,,,,,,,,,,,,,,,,,,,,,,853,,,20370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5632,,,,,,,16,,,,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-68,,,,,,,,,,,,,,,,,,,,,,,,,765,,,20319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5225,,,,,,,8,,,,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-68,,,,,,,,,,,,,,,,,,,,,,,,,697,,,20673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5694,,,,,,,8,,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-68,,,,,,,,,,,,,,,,,,,,,,,,,672,,,21193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5697,,,,,,,7,,,,,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-68,,,,,,,,,,,,,,,,,,,,,,,,,802,,,21794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6368,,,,,,,14,,,,,,,,,298,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-68,,,,,,,,,,,,,,,,,,,,,,,,,915,,,21753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6357,,,,,,,10,,,,,,,,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-68,,,,,,,,,,,,,,,,,,,,,,,,,920,,,20491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5828,,,,,,,15,,,,,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-68,,,,,,,,,,,,,,,,,,,,,,,,,910,,,19119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6006,,,,,,,10,,,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-69,,,,,,,,,,,,,,,437,,,,,,,,,,990,,,20541,,,,,,20279,,,,,,,,,,,,70038,,,,,,,,,,,,,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5666,,,,,,,14,,,,,,,,,272,,,,,,,,,,,,,,,,,21853,,,,,,221,293940,,,
Feb-69,,,,,,,,,,,,,,,411,,,,,,,,,,878,,,17850,,,,,,18445,,,,,,,,,,,,66166,,,,,,,,,,,,,1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5043,,,,,,,15,,,,,,,,,287,,,,,,,,,,,,,,,,,19253,,,,,,165,270786,,,
Mar-69,,,,,,,,,,,,,,,394,,,,,,,,,,964,,,20037,,,,,,18015,,,,,,,,,,,,74639,,,,,,,,,,,,,1794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5447,,,,,,,13,,,,,,,,,284,,,,,,,,,,,,,,,,,20829,,,,,,191,296550,,,
Apr-69,,,,,,,,,,,,,,,444,,,,,,,,,,894,,,19580,,,,,,18335,,,,,,,,,,,,71803,,,,,,,,,,,,,1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5247,,,,,,,9,,,,,,,,,324,,,,,,,,,,,,,,,,,18309,,,,,,167,282638,,,
May-69,,,,,,,,,,,,,,,398,,,,,,,,,,845,,,20498,,,,,,18616,,,,,,,,,,,,76657,,,,,,,,,,,,,1834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5393,,,,,,,7,,,,,,,,,306,,,,,,,,,,,,,,,,,16320,,,,,,197,289124,,,
Jun-69,,,,,,,,,,,,,,,372,,,,,,,,,,791,,,20394,,,,,,18937,,,,,,,,,,,,70640,,,,,,,,,,,,,1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100,,,,,,,12,,,,,,,,,244,,,,,,,,,,,,,,,,,15057,,,,,,198,291610,,,
Jul-69,,,,,,,,,,,,,,,453,,,,,,,,,,617,,,20580,,,,,,20021,,,,,,,,,,,,72099,,,,,,,,,,,,,1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5412,,,,,,,8,,,,,,,,,244,,,,,,,,,,,,,,,,,15518,,,,,,178,318356,,,
Aug-69,,,,,,,,,,,,,,,422,,,,,,,,,,604,,,20035,,,,,,21041,,,,,,,,,,,,67451,,,,,,,,,,,,,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5749,,,,,,,12,,,,,,,,,237,,,,,,,,,,,,,,,,,16152,,,,,,211,321034,,,
Sep-69,,,,,,,,,,,,,,,422,,,,,,,,,,744,,,20802,,,,,,25534,,,,,,,,,,,,68373,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6304,,,,,,,22,,,,,,,,,290,,,,,,,,,,,,,,,,,13873,,,,,,232,312620,,,
Oct-69,,,,,,,,,,,,,,,456,,,,,,,,,,790,,,20750,,,,,,24757,,,,,,,,,,,,68560,,,,,,,,,,,,,1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6421,,,,,,,15,,,,,,,,,282,,,,,,,,,,,,,,,,,12170,,,,,,285,311972,,,
Nov-69,,,,,,,,,,,,,,,446,,,,,,,,,,798,,,19537,,,,,,21594,,,,,,,,,,,,64520,,,,,,,,,,,,,1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5934,,,,,,,19,,,,,,,,,255,,,,,,,,,,,,,,,,,12258,,,,,,234,297054,,,
Dec-69,,,,,,,,,,,,,,,328,,,,,,,,,,756,,,18945,,,,,,20431,,,,,,,,,,,,68565,,,,,,,,,,,,,1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5861,,,,,,,13,,,,,,,,,233,,,,,,,,,,,,,,,,,13348,,,,,,250,314522,,,
Jan-70,,,,,,,,,,,,,,,423,,,,,,,,,,789,29748,,20318,,,,,,19714,,,,,,,,,,,,68912,125,,,,,,,,818,,19633,,1730,,,,,,,77498,,,,,,3150,,,,,,,,,,,,,,,,,,,22,,,284,,,,,,,,,,,,,,5427,,,,,,,,,,,,,,,,267,,119,,,,1719,53804,,,,,,,,,,,,,,,,268,301870,,,
Feb-70,,,,,,,,,,,,,,,356,,,,,,,,,,750,27645,,17373,,,,,,17649,,,,,,,,,,,,63903,120,,,,,,,,726,,16311,,1658,,,,,,,68902,,,,,,2621,,,,,,,,,,,,,,,,,,,24,,,279,,,,,,,,,,,,,,4600,,,,,,,,,,,,,,,,255,,121,,,,1650,49676,,,,,,,,,,,,,,,,182,281100,,,
Mar-70,,,,,,,,,,,,,,,414,,,,,,,,,,905,32539,,19204,,,,,,18045,,,,,,,,,,,,73236,131,,,,,,,,777,,18279,,1791,,,,,,,77400,,,,,,2836,,,,,,,,,,,,,,,,,,,21,,,311,,,,,,,,,,,,,,5024,,,,,,,,,,,,,,,,270,,132,,,,1833,55739,,,,,,,,,,,,,,,,201,307068,,,
Apr-70,,,,,,,,,,,,,,,410,,,,,,,,,,892,32157,,18169,,,,,,16853,,,,,,,,,,,,72944,116,,,,,,,,815,,16677,,1914,,,,,,,75017,,,,,,2722,,,,,,,,,,,,,,,,,,,23,,,341,,,,,,,,,,,,,,4947,,,,,,,,,,,,,,,,322,,158,,,,1867,55818,,,,,,,,,,,,,,,,204,286624,,,
May-70,,,,,,,,,,,,,,,412,,,,,,,,,,770,32765,,19071,,,,,,18270,,,,,,,,,,,,76779,136,,,,,,,,757,,17241,,1999,,,,,,,77775,,,,,,2834,,,,,,,,,,,,,,,,,,,26,,,353,,,,,,,,,,,,,,5350,,,,,,,,,,,,,,,,278,,164,,,,1922,56672,,,,,,,,,,,,,,,,226,297648,,,
Jun-70,,,,,,,,,,,,,,,369,,,,,,,,,,639,31909,,19494,,,,,,19031,,,,,,,,,,,,72914,132,,,,,,,,699,,15417,,1845,,,,,,,78368,,,,,,2562,,,,,,,,,,,,,,,,,,,20,,,369,,,,,,,,,,,,,,4767,,,,,,,,,,,,,,,,256,,185,,,,1752,56492,,,,,,,,,,,,,,,,205,302798,,,
Jul-70,,,,,,,,,,,,,,,380,,,,,,,,,,808,32527,,19905,,,,,,21120,,,,,,,,,,,,74032,108,,,,,,,,720,,17050,,2199,,,,,,,83649,,,,,,2459,,,,,,,,,,,,,,,,,,,24,,,360,,,,,,,,,,,,,,5297,,,,,,,,,,,,,,,,293,,136,,,,1763,58241,,,,,,,,,,,,,,,,204,329904,,,
Aug-70,,,,,,,,,,,,,,,414,,,,,,,,,,762,30710,,20731,,,,,,21034,,,,,,,,,,,,68778,140,,,,,,,,784,,17799,,2216,,,,,,,76693,,,,,,2624,,,,,,,,,,,,,,,,,,,27,,,350,,,,,,,,,,,,,,5845,,,,,,,,,,,,,,,,216,,120,,,,1886,52373,,,,,,,,,,,,,,,,260,330712,,,
Sep-70,,,,,,,,,,,,,,,426,,,,,,,,,,746,31603,,22097,,,,,,21394,,,,,,,,,,,,66011,134,,,,,,,,744,,18032,,2284,,,,,,,70075,,,,,,2744,,,,,,,,,,,,,,,,,,,28,,,327,,,,,,,,,,,,,,6398,,,,,,,,,,,,,,,,279,,160,,,,1692,55091,,,,,,,,,,,,,,,,288,331830,,,
Oct-70,,,,,,,,,,,,,,,460,,,,,,,,,,793,30140,,21628,,,,,,21071,,,,,,,,,,,,67725,134,,,,,,,,771,,17520,,2095,,,,,,,71583,,,,,,3057,,,,,,,,,,,,,,,,,,,29,,,334,,,,,,,,,,,,,,6538,,,,,,,,,,,,,,,,317,,133,,,,1759,55960,,,,,,,,,,,,,,,,304,323764,,,
Nov-70,,,,,,,,,,,,,,,404,,,,,,,,,,785,29591,,20565,,,,,,20633,,,,,,,,,,,,68629,148,,,,,,,,839,,17901,,1958,,,,,,,71693,,,,,,3176,,,,,,,,,,,,,,,,,,,25,,,306,,,,,,,,,,,,,,6623,,,,,,,,,,,,,,,,257,,111,,,,1711,51402,,,,,,,,,,,,,,,,288,309012,,,
Dec-70,,,,,,,,,,,,,,,248,,,,,,,,,,740,30654,,20114,,,,,,22205,,,,,,,,,,,,73920,160,,,,,,,,947,,20291,,2014,,,,,,,72819,,,,,,3057,,,,,,,,,,,,,,,,,,,33,,,308,,,,,,,,,,,,,,6622,,,,,,,,,,,,,,,,264,,121,,,,1528,54834,,,,,,,,,,,,,,,,290,329056,,,
Jan-71,,,74,,,,,,,23287,,,,,476,,11834,,,,,39,,11860,932,31154,,21294,,273,,,,21595,,,,,,,,,,,,73706,,,,,,54,12864,,,253,,,2034,,,,,59,5448,79175,,,,,,,,,,,,,,,,,,,,,,,,,,,19085,336,,,,,,,,,4696,,,,16578,6259,,,,,35074,,9,3,,,,,,,16,245,,,,,,,53083,,,,9222,,,,,,19411,,,,,,294,312190,,,
Feb-71,,,74,,,,,,,21884,,,,,403,,10953,,,,,21,,10663,774,28943,,18054,,162,,,,19639,,,,,,,,,,,,67477,,,,,,40,11756,,,223,,,1663,,,,,68,4794,69631,,,,,,,,,,,,,,,,,,,,,,,,,,,17992,332,,,,,,,,,4173,,,,14906,5505,,,,,32082,,9,4,,,,,,,28,254,,,,,,,50239,,,,9152,,,,,,16208,,,,,,232,283444,,,
Mar-71,,,106,,,,,,,25805,,,,,407,,12020,,,,,21,,11963,784,32782,,17891,,203,,,,19630,,,,,,,,,,,,75831,,,,,,42,12835,,,208,,,1810,,,,,67,5316,78776,,,,,,,,,,,,,,,,,,,,,,,,,,,20660,308,,,,,,,,,4373,,,,16256,5674,,,,,36592,,5,2,,,,,,,24,305,,,,,,,57635,,,,10881,,,,,,17706,,,,,,263,307718,,,
Apr-71,,,97,,,,,,,22795,,,,,456,,12406,,,,,21,,11660,908,31676,,19186,,185,,,,18468,,,,,,,,,,,,77298,,,,,,62,11545,,,267,,,1869,,,,,67,4995,73390,,,,,,,,,,,,,,,,,,,,,,,,,,,20673,326,,,,,,,,,4471,,,,15656,5577,,,,,34387,,9,2,,,,,,,16,314,,,,,,,55070,,,,11157,,,,,,16630,,,,,,211,285730,,,
May-71,,,89,,,,,,,23030,,,,,400,,12409,,,,,29,,12029,788,31229,,19886,,188,,,,15791,,,,,,,,,,,,80924,,,,,,50,12248,,,234,,,1877,,,,,77,5054,77984,,,,,,,,,,,,,,,,,,,,,,,,,,,20578,357,,,,,,,,,4703,,,,16221,5517,,,,,34895,,10,2,,,,,,,28,319,,,,,,,56448,,,,10565,,,,,,15580,,,,,,199,284332,,,
Jun-71,,,100,,,,,,,23500,,,,,354,,12029,,,,,33,,11350,743,30805,,20470,,208,,,,16483,,,,,,,,,,,,74656,,,,,,47,11895,,,264,,,1791,,,,,72,5242,77218,,,,,,,,,,,,,,,,,,,,,,,,,,,19493,362,,,,,,,,,4504,,,,15199,5522,,,,,31913,,8,2,,,,,,,37,262,,,,,,,56625,,,,9469,,,,,,14364,,,,,,184,284944,,,
Jul-71,,,76,,,,,,,23982,,,,,426,,12021,,,,,13,,11569,683,30773,,20726,,207,,,,18760,,,,,,,,,,,,75851,,,,,,57,12483,,,248,,,1986,,,,,70,5777,82265,,,,,,,,,,,,,,,,,,,,,,,,,,,19398,383,,,,,,,,,4330,,,,15354,5777,,,,,35097,,15,4,,,,,,,33,262,,,,,,,59054,,,,9498,,,,,,13980,,,,,,235,304912,,,
Aug-71,,,90,,,,,,,23231,,,,,442,,11477,,,,,17,,11548,825,29825,,21998,,240,,,,25191,,,,,,,,,,,,72070,,,,,,48,11891,,,272,,,2000,,,,,63,5853,78151,,,,,,,,,,,,,,,,,,,,,,,,,,,18432,357,,,,,,,,,4428,,,,15363,6022,,,,,33945,,10,1,,,,,,,37,249,,,,,,,55949,,,,9264,,,,,,14707,,,,,,228,312416,,,
Sep-71,,,94,,,,,,,22904,,,,,400,,11766,,,,,27,,11288,803,30344,,22882,,243,,,,26638,,,,,,,,,,,,71738,,,,,,53,11605,,,311,,,2032,,,,,72,5995,77044,,,,,,,,,,,,,,,,,,,,,,,,,,,18415,353,,,,,,,,,4673,,,,16778,6486,,,,,34432,,6,1,,,,,,,36,260,,,,,,,57644,,,,9250,,,,,,13993,,,,,,242,310822,,,
Oct-71,,,83,,,,,,,22820,,,,,479,,11411,,,,,33,,11265,745,29193,,22931,,266,,,,25904,,,,,,,,,,,,71070,,,,,,44,11647,,,279,,,2192,,,,,59,5646,75823,,,,,,,,,,,,,,,,,,,,,,,,,,,18179,351,,,,,,,,,4904,,,,16383,6581,,,,,33363,,16,3,,,,,,,21,251,,,,,,,55394,,,,9068,,,,,,13235,,,,,,278,302542,,,
Nov-71,,,74,,,,,,,22167,,,,,401,,10700,,,,,21,,10211,790,27510,,21885,,216,,,,24147,,,,,,,,,,,,67509,,,,,,48,10899,,,257,,,2141,,,,,61,5585,70260,,,,,,,,,,,,,,,,,,,,,,,,,,,17023,324,,,,,,,,,4804,,,,15769,6152,,,,,30152,,6,1,,,,,,,22,265,,,,,,,53919,,,,8425,,,,,,13606,,,,,,267,281112,,,
Dec-71,,,81,,,,,,,20957,,,,,208,,10979,,,,,26,,10016,718,27953,,20767,,246,,,,23768,,,,,,,,,,,,70517,,,,,,49,9458,,,252,,,1538,,,,,69,5758,67663,,,,,,,,,,,,,,,,,,,,,,,,,,,17252,337,,,,,,,,,4889,,,,14579,6045,,,,,28214,,16,,,,,,,,29,289,,,,,,,53710,,,,8533,,,,,,13891,,,,,,276,285808,,,
Jan-72,,,,,,130,,,,,,,451,,453,,11448,,,,,20,,,831,,,22593,,218,,,,,,,,6088,127197,,,,64,1269,4664,,,,,,,,,77,,,21506,,,,353,,5675,,,75148,,175715,,,,,,,7268,9413,,,,,,,,,,,,,,,,,,383,5031,,,,,,,,,,,,,5836,,,,,,,,1,,,,,,,,,,,,,,,53329,,,,,,,,,2358,19374,,16,,,,248,275912,,,32531
Feb-72,,,,,,124,,,,,,,344,,430,,10823,,,,,28,,,665,,,20169,,242,,,,,,,,6148,113140,,,,62,1144,4607,,,,,,,,,70,,,19497,,,,357,,5269,,,69415,,163702,,,,,,,6796,8902,,,,,,,,,,,,,,,,,,384,4949,,,,,,,,,,,,,5394,,,,,,,,2,,,,,,,,,,,,,,,51904,,,,,,,,,2151,18020,,10,,,,210,262305,,,32712
Mar-72,,,,,,125,,,,,,,336,,445,,11901,,,,,26,,,814,,,21402,,189,,,,,,,,6890,106189,,,,65,976,5626,,,,,,,,,80,,,20128,,,,419,,6048,,,75996,,169491,,,,,,,6857,8901,,,,,,,,,,,,,,,,,,366,5384,,,,,,,,,,,,,5739,,,,,,,,2,,,,,,,,,,,,,,,55261,,,,,,,,,2303,19101,,8,,,,180,273054,,,34550
Apr-72,,,,,,111,,,,,,,341,,462,,11410,,,,,27,,,833,,,20240,,199,,,,,,,,6967,92708,,,,66,825,5548,,,,,,,,,80,,,19009,,,,376,,5809,,,71642,,166552,,,,,,,4502,7675,,,,,,,,,,,,,,,,,,389,4829,,,,,,,,,,,,,5374,,,,,,,,5,,,,,,,,,,,,,,,55753,,,,,,,,,2146,16709,,17,,,,237,254538,,,31816
May-72,,,,,,138,,,,,,,345,,404,,12076,,,,,22,,,741,,,20775,,191,,,,,,,,6963,90889,,,,84,2027,5530,,,,,,,,,84,,,20120,,,,460,,6326,,,75234,,168522,,,,,,,7066,7619,,,,,,,,,,,,,,,,,,448,5523,,,,,,,,,,,,,5583,,,,,,,,2,,,,,,,,,,,,,,,60388,,,,,,,,,2323,17109,,17,,,,199,269698,,,34897
